"Stuart Dickson Produce Order Sheet

Email:  sdp.accts@gmail.com          Fax:   02 8569 2043              Phone:   02 9764 3788";;;;;
Customer Name:;;;Date:;;
;;;;;
Stock;Quantity;Note;Stock;Quantity;Note
Beans;;;Ginger;;
Hand Picked (Green);;;Large Ginger Old Season;;
Machine Picked (Green);;;Large Ginger New Season;;
Butter Beans;;;Small Ginger Old Season;;
Flat Beans;;;Small Ginger New Season;;
Berries;;;Ginger Crushed;;
Blueberry Punnets;;;Kumera;;
Blueberry Trays;;;Gold Kumera Med;;
Strawberry Med Punnets;;;Gold Kumera Large;;
Strawberry Med Trays;;;Gold Kumera Small;;
Strawberry Large Punnets;;;Gold Kumera #2;;
Strawberry Large;;;Hawaiin Kumera Med;;
Strawberry XL Punnets;;;Hawaiin Kumera Large;;
Strawberry XL Trays;;;Hawaiin Kumera Small;;
Rasberry Punnet;;;Hawaiin Kumera #2;;
Rasberry Trays;;;Purple Kumera Med;;
Blackberry Punnets;;;Purple Kumera Large;;
Capsicum;;;Purple Kumera Small;;
Baby Capsicum;;;Onions;;
Green Capsicum;;;Brown 5kg;;
Red Capsicum;;;Brown 10kg Med;;
Yellow Capsicum;;;Brown 10kg Large;;
Carrots;;;Brown 10kg Jarer;;
Carrot 15kg Carton;;;Brown 15kg Carton;;
Carrot Large Bag;;;Brown 20kg Med;;
Carrot Large Carton;;;Brown 20kg Large;;
Carrot Med 20kg Carton;;;Brown 20kg Jarer;;
Carrot Prepack 20x1kg Bags;;;Brown 20kg Pickle;;
Carrot Prepack 10x2kg Bags;;;Brown 1kg Prepack;;
Carrot 15kg Catering Bags;;;Spanish 5kg;;
Purple Carrot Loose;;;Spanish 10kg Medium;;
Purple Carrot Prepack;;;Spanish 10kg Large;;
Cabbage;;;Spanish 10kg Jarer;;
Green Cabbage Loose;;;Spanish 1kg Prepack;;
Red Cabbage Loose;;;Capsicum;;
Savoy Cabbage Loose;;;Red Large;;
Wombok (Chinese Cabbage) Loose;;;Red Medium;;
Cucumbers;;;Red Small;;
Apple Cucumber;;;Green Large;;
Lebanese Cucumber;;;Green Medium;;
Telegraph Cucumber;;;Green Small;;
Glasshouse Cucumber;;;Yellow Large;;
Zucchini;;;Yellow Medium;;
Green Medium;;;Yellow Small;;
Green Small;;;Sweet Baby Capsicum Loose;;
Green Large;;;Sweet Baby Capsicum Prepack;;
Green #2;;;Red Chillies;;
Grey Medium;;;Green Chillies;;
Grey Small;;;Other;;
Grey Large;;;Asparagus;;
Grey #2;;;Beetroot Large;;
Garlic;;;Beetroot Medium;;
Garlic Loose;;;Broccoli;;
Garlic Prepacked;;;Button Squash;;
Garlic Peeled;;;Celeryx8;;
Garlic Crushed;;;Celeryx10;;
Black Garlic;;;Eggplant;;
Tomatoes;;;Chokos;;
Cherry Toms x 15;;;Corn Loose;;
Cherry Truss Loose;;;Corn Prepack;;
Cherry Truss Prepack;;;Fennel;;
Grape Tomato x 15;;;Figs;;
Snacking Tomato x 16;;;Kale;;
Heirloom Tomato Punnets;;;Lettuce;;
Gourmet Tomato;;;Parsnips;;
Truss Tomato;;;Pea 5kg Loose;;
;;;Snowpeas kg;;
;;;White Turnips;;
